sequence,containerRef,sfrom,sto,crane,sheetType,question,cat,prt,wt,SqStow,status,vesselName,bay,cell,position,loadingPort
40,MEDU4580825,A268G1,220010,QC6,4510,,E,TXG,"23,5",,,,22,00,10,
41,MSMU7577140,A268A1,220110,QC6,45G0,,E,TXG,"24,2",,,,22,01,10,
42,MSMU5462543,A268B2,220310,QC6,45G0,,E,TXG,"23,8",,,,22,03,10,
43,MSMU5889540,A268A2,220412,QC6,45G0,,E,TXG,"23,6",,,,22,04,12,
44,FFAU3978199,A268G3,220212,QC6,45G0,,E,TXG,"24,3",,,,22,02,12,
45,MSMU6206356,A268G2,220012,QC6,45G0,,E,TXG,"24,0",,,,22,00,12,
46,FFAU2573405,A268D3,220112,QC6,45G0,,E,TXG,"23,9",,,,22,01,12,
47,TLLU8569366,A268D4,220312,QC6,45G0,,E,TXG,"23,9",,,,22,03,12,
48,TGBU9648793,A268B4,220414,QC6,45G0,,E,TXG,"23,7",,,,22,04,14,
49,MSMU7847204,A268C2,220214,QC6,45G0,,E,TXG,"24,1",,,,22,02,14,
50,TCLU5555123,A268G4,220014,QC6,45G0,,E,TXG,"24,3",,,,22,00,14,
51,MSMU6035422,A268C3,220114,QC6,45G0,,E,TXG,"24,0",,,,22,01,14,
52,MSMU5158130,A268C4,220314,QC6,45G0,,E,TXG,"23,9",,,,22,03,14,
53,FFAU3776731,A268B3,220416,QC6,45G0,,E,TXG,"23,6",,,,22,04,16,
54,FFAU2829272,A268D2,220016,QC6,45G0,,E,TXG,"24,3",,,,22,00,16,
1,GESU9121625,K410F2,220482,QC6,4532,,T,DUR,"28,8",,,,22,04,82,
2,TRIU8877067,K410B3,220282,QC6,4532,,T,DUR,"24,0",,,,22,02,82,
3,CRXU6938214,K410C3,220082,QC6,4532,,T,DUR,"30,5",,,,22,00,82,
4,MSCU7447065,K410F1,220182,QC6,4532,,T,DUR,"29,7",,,,22,01,82,
5,TTNU8053005,K410C2,220382,QC6,4532,,T,DUR,"24,5",,,,22,03,82,
6,MSDU9005770,K410D2,220484,QC6,4532,,T,DUR,"20,5",,,,22,04,84,
7,TGHU9924300,K410G1,220284,QC6,4532,,T,DUR,"6,6",,,,22,02,84,
8,MEDU9124350,K410B2,220084,QC6,4532,,T,DUR,"23,9",,,,22,00,84,
9,CRSU6061000,K410D1,220184,QC6,4532,,T,DUR,"22,6",,,,22,01,84,
10,GESU9489411,K410C1,220384,QC6,4532,,T,DUR,"24,5",,,,22,03,84,
1,CXRU1076095,K401B1,270082,QC6,2232,,T,"DUR 12,6",,,,,27,00,82,
2,MSDU1322280,A211G1,250182,QC6,22G0,,R,"DUR 24,2",,,,,25,01,82,
3,CAIU4905616,A256F2,260482,QC6,45G0,,R,"DUR 24,1",,,,,26,04,82,
4,BMOU6667477,A256A1,260282,QC6,45G0,,R,"DUR 27,4",,,,,26,02,82,
5,MSDU7127912,A256D2,260484,QC6,45G0,,R,"DUR 21,1",,,,,26,04,84,
6,FFAU3906922,A214F1,260284,QC6,45G0,,R,"DUR 23,8",,,,,26,02,84,
1,MEDU7435733,A256F1,301282,QC5,45G0,,R,DUR,"13,5",,,,30,12,82,
2,MSMU5676376,A256F3,301082,QC5,45G0,,R,DUR,"18,3",,,,30,10,82,
3,MEDU8664185,A256G3,300982,QC5,45G0,,R,DUR,"8,2",,,,30,09,82,
4,MEDU7259995,A256G2,301182,QC5,45G0,,R,DUR,"7,8",,,,30,11,82,
5,GLDU7624822,A214G1,301284,QC5,45G0,,R,DUR,"9,2",,,,30,12,84,
6,MSMU8629700,A256G1,301084,QC5,45G0,,R,DUR,"9,4",,,,30,10,84,
7,MSMU7185303,A256G4,300984,QC5,45G0,,R,DUR,"7,1",,,,30,09,84,
